claim_id,report_section,research_question,claim_template,estimand,population,required_method,minimum_acceptance,required_sensitivity,evidence_grade_if_met,status,primary_limitation
claim-01,Population,RQ0,"The analysis includes {n} adjudications from {events} events after excluding {excluded} records.",final included adjudication count,formal Race and Sprint driving-conduct adjudications 2018-2025,deterministic population flow and exclusion audit,100 percent source lineage and explicit exclusion reason,alternate handling of unresolved corrected or recalled documents,A,blocked_pending_independent_review,Formal referral is required for inclusion
claim-02,Consistency,RQ1,"After adjustment the probability of a sanction differed by {magnitude} between otherwise comparable cases; {interval}.",conditional sanction probability,formally adjudicated primary incident families,grouped validated penalized logistic model,calibration acceptable and event-grouped validation beats prevalence baseline,leave-one-season-out and alternate context specifications,B,withheld_release_gate,Unpublished evidence and referral selection remain unobserved
claim-03,Consistency,RQ1,"{n} adjudications met the frozen high-priority residual and support thresholds for manual review.",count above frozen anomaly and support thresholds,model-eligible adjudications,calibrated residual plus comparable-case support,thresholds frozen before case inspection and each case has complete evidence,alternate model families and exclusion of low-support rows,B,withheld_release_gate,Model disagreement does not establish incorrect stewarding
claim-04,Guidelines,RQ2,"Among {mappable_n} confidently mappable 2025 adjudications {share} were within the published baseline or range.",document conformance proportion,2025 public-guideline-mappable primary adjudications,double-reviewed rule mapping,at least 90 percent coding agreement or reconciled disagreement,strict versus broad mappability definitions,B,pilot_case_study_only,Guidelines are non-regulatory and public only for 2025
claim-05,Guidelines,RQ2,"{n} 2025 decisions were apparent unexplained departures from the public guideline range.",count of confidently mapped unexplained departures,2025 public-guideline-mappable adjudications,double-reviewed written-decision audit,every case independently reviewed with applicable version verified,reclassify unclear as conformant and as departed bounds,B,withheld_release_gate,Public reasons may omit evidence considered by stewards
claim-06,Nationality,RQ3,"The adjusted sanction probability associated with British accused-driver status was {effect}; {interval}.",average marginal effect of British accused status,model-eligible referred adjudications,predefined adjusted model with uncertainty and grouped validation,adequate overlap and simulation-based power with interval reported,exclude each British driver season British GP and home races,C,inconclusive_design_power,Association is conditional on referral and cannot prove bias
claim-07,Nationality,RQ3,"The adjusted association for British affected-driver status was {effect}; {interval}.",average marginal effect of British affected status,model-eligible adjudications with a principal counterparty,predefined adjusted model separate from accused role,adequate overlap and power with role definition stable,alternate counterparty rules and incident-family restrictions,C,withheld_release_gate,Counterparty attribution can be ambiguous in multi-car incidents
claim-08,Panels,RQ3,"Same-nationality panel exposure was associated with {effect}; {interval}.",adjusted marginal association for shared nationality,adjudications with verified complete steward panels,hierarchical or penalized model with panel structure,low missingness and no complete separation,alternate nationality crosswalk and leave-one-panel-out,C,withheld_country_evidence_gate,Collective votes are not public and assignments may be correlated with event
claim-09,Impact,RQ4,"Post-session penalties mechanically changed {positions} positions {points} points {podiums} podiums and {wins} wins.",sum of exact narrow classification arithmetic,post-session sanctions with complete official classifications,deterministic same-lap re-ranking,100 percent arithmetic reproduced and independently reviewed,alternate tie and bonus-point rules,A,pilot_released,Does not simulate changed strategy or behavior
claim-10,Impact,RQ4,"An additional {n} sanctions had bounded or modeled effects and {d} were not estimable.",counts by impact evidence tier,all included sanctions with possible sporting consequence,tiered impact classification and validated models where used,no mechanical language for served or future-event sanctions,report each tier separately and omit model if validation fails,B,pilot_released_descriptive,In-race counterfactuals depend on strategy traffic and response
claim-11,Corrections,RQ5,"{n} adjudications were formally corrected reviewed or appealed and {changed} changed outcome.",descriptive correction and outcome-change counts,all discovered versioned decision lineages,deterministic lineage resolution,all versions linked or explicitly unresolved,strict final-only and inclusive lineage definitions,A,lineage_only_outcome_withheld,Challenges are selective so this is not an overall error rate
claim-12,Conclusion,All,"The evidence {supports_or_does_not_support} a conclusion of systematic inconsistency after accounting for observable case mix.",synthesis across calibrated consistency outputs,primary study population,frozen synthesis rule using claim-level evidence grades,no unresolved contradiction among headline analyses,restrict by era incident family and evidence completeness,B,inconclusive_release_blocked,Observable adjustment cannot eliminate unmeasured evidence or selection
claim-13,Harm,RQ4,"Official or timing evidence identified {position_n} affected-driver position losses {repair_n} incident-responsive repair stops {damage_n} confirmed damage cases and {retirement_n} incident-caused retirements.",descriptive count by independently reviewed harm dimension,affected-driver incident pairs linked to a formal adjudication,source-tiered harm coding with reproduced before-after timing,100 percent source lineage and independent review with modeled and observed totals separated,strict versus plausible incident-response links and exclusion of timing-only damage claims,A,pilot_released,Observed harm does not prove fault or identify a no-incident race outcome
