queue,row_id,document_id,source_url,source_evidence_sha256,prior_review_status,prior_reviewer_id,model_decision,model_review_status,corrected_fields_json,evidence_basis,review_path,rationale,independent_human_review
documents,document-review-fia-2024-bel-1d6de3027588,fia-2024-bel-1d6de3027588,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Belgian%20Grand%20Prix/season/season-2024-2043#recalled-doc-17,2138f1bcd34919c497d46fe405b69255798a7caea78e678122f8e070b5798cad,single_coded_pending_human,codex_source_review_v1,agree_metadata_only,source_unavailable_model_review,{},archive_metadata_only,source_rule_exact_agreement,Archive metadata supports the version exclusion; source binary unavailable.,False
documents,document-review-fia-2024-bel-2a32bded31d9,fia-2024-bel-2a32bded31d9,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Belgian%20Grand%20Prix/season/season-2024-2043#recalled-doc-16,0fc4fb81b6df8bdf083fcfbf71df13407926cb23a1f183a87d50a4e48359e45d,single_coded_pending_human,codex_source_review_v1,agree_metadata_only,source_unavailable_model_review,{},archive_metadata_only,source_rule_exact_agreement,Archive metadata supports the version exclusion; source binary unavailable.,False
documents,document-review-fia-2024-bel-4cb44a91ff69,fia-2024-bel-4cb44a91ff69,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Belgian%20Grand%20Prix/season/season-2024-2043#recalled-doc-14,8aa101986acd719cedf9a66bc23a25eced1311b1e8e93dee3e6864e8b56b16e0,single_coded_pending_human,codex_source_review_v1,agree_metadata_only,source_unavailable_model_review,{},archive_metadata_only,source_rule_exact_agreement,Archive metadata supports the version exclusion; source binary unavailable.,False
documents,document-review-fia-2024-bel-e159cf25cd24,fia-2024-bel-e159cf25cd24,https://www.fia.com/documents/championships/fia-formula-one-world-championship-14/event/Belgian%20Grand%20Prix/season/season-2024-2043#recalled-doc-15,51be1006f79e6eef27c4c2dea295b3d6244cd1819eb4ac30dba7b20fcd066098,single_coded_pending_human,codex_source_review_v1,agree_metadata_only,source_unavailable_model_review,{},archive_metadata_only,source_rule_exact_agreement,Archive metadata supports the version exclusion; source binary unavailable.,False
documents,document-review-fia-2018-aus-008e39ba8b64,fia-2018-aus-008e39ba8b64,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_summons_-_car_3_minimum_time_set_by_fia_ecu_-_doc_10.pdf,5788f9cd376ec8213adea4676030f04a6a16095a84a6929ac5394af8fc4215db,single_coded_pending_human,codex_assisted_prefill_v1,agree,model_reviewed_agree,{},source_text_reclassification,source_rule_exact_agreement,The source-only classification and reconciled final disposition agree on the frozen analytical boundary.,False
documents,document-review-fia-2018-aus-613b5bf1c2fd,fia-2018-aus-613b5bf1c2fd,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_race_directors_note_sc2-sc1_time_-_doc_13.pdf,f0fb79b11f2c2ec618c43eac9ae595f18d05a8ba209d10eb387d06d78be69c53,single_coded_pending_human,codex_assisted_prefill_v1,agree,model_reviewed_agree,{},source_text_reclassification,source_rule_exact_agreement,The source-only classification and reconciled final disposition agree on the frozen analytical boundary.,False
documents,document-review-fia-2018-aus-700cf35f72e7,fia-2018-aus-700cf35f72e7,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_race_directors_note_-_intermediate_tyres_-_doc_12.pdf,37f4bc040c6633f68097da6baed436d496ed2593a93110644bd27615f2dac9da,single_coded_pending_human,codex_assisted_prefill_v1,agree,model_reviewed_agree,{},source_text_reclassification,source_rule_exact_agreement,The source-only classification and reconciled final disposition agree on the frozen analytical boundary.,False
documents,document-review-fia-2018-aus-9871ca7822c0,fia-2018-aus-9871ca7822c0,https://www.fia.com/sites/default/files/acfrogd991cl5aeegtlomd6y3iav5apuhxh-hv8ftluem0vpgeboibnpkqflepi_sx4hrkyyxdkscb3gp5xu8tt-gapc7usku8afleby9poqfzdkq4ys0kipvopzabo.pdf,9cc8bc15be90aa503ff6d73dd4fd673b705d4139d53b849630a0918882ca747d,single_coded_pending_human,codex_assisted_prefill_v1,agree,model_reviewed_agree,{},source_text_reclassification,source_rule_exact_agreement,The source-only classification and reconciled final disposition agree on the frozen analytical boundary.,False
documents,document-review-fia-2018-aus-de9e9d0f3ac5,fia-2018-aus-de9e9d0f3ac5,https://www.fia.com/sites/default/files/acfrogcr8fh3wklpmjbu_fssdbghewq752bxwcftu9eulopyysyaqqw9k_tpmtoyosk42vzbo6psexepo9xpvlmpt7j7x-nbf8ik3y_9hf3utorlcr_wqmhzxw2_5mk.pdf,cec294066aa491d355754f299ec6ee9a4a270ee5cd48a680ae210f51a46a7a41,single_coded_pending_human,codex_assisted_prefill_v1,agree,model_reviewed_agree,{},source_text_reclassification,source_rule_exact_agreement,The source-only classification and reconciled final disposition agree on the frozen analytical boundary.,False
documents,document-review-fia-2018-bhr-4e0df76f3885,fia-2018-bhr-4e0df76f3885,https://www.fia.com/sites/default/files/2018_bahrain_grand_prix_2018_summons_-_ferrari_car_7_alleged_unsafe_release_from_a_pit_stop_-_doc_30.pdf,75ff31481a27d51d9608fb299c178cb3d97db5707cd7f8036d953f01a2a99d37,single_coded_pending_human,codex_assisted_prefill_v1,agree,model_reviewed_agree,{},source_text_reclassification,source_rule_exact_agreement,The source-only classification and reconciled final disposition agree on the frozen analytical boundary.,False
