review_id,target_type,target_id,review_decision,field_name,initial_value_json,reconciled_value_json,reviewer_id,reviewed_at_utc,reviewer_notes,evidence_urls
review-adj-2019-aut-r69-t3-16,adjudication,adj-2019-aut-r69-t3-16,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T18:18:44+00:00,Agreed after discussion. Position and time consequences are reviewed in separate mirrored harm records; the adjudication coding remains unchanged.,https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2016%20(Incident%20with%20car%2033%20in%20turn%203).pdf
review-adj-2019-aut-r69-t3-33,adjudication,adj-2019-aut-r69-t3-33,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T18:18:44+00:00,Approved as the mirrored official decision for the shared incident; retain the shared incident ID for clustered and deduplicated sensitivity analyses.,https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2033%20(Turn%203%20incident%20with%20car%2016).pdf
review-adj-2023-abu-r15-t6-44,adjudication,adj-2023-abu-r15-t6-44,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T18:43:23+00:00,Adjudication approved as coded. Damage to both cars is a separate harm question; Gasly's earlier contact with Car 11 confounds attribution of his later pace loss.,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Decision%20-%20Car%2044%20-%20Alleged%20causing%20a%20collision.pdf
review-adj-2023-abu-r47-t6-11,adjudication,adj-2023-abu-r47-t6-11,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T18:51:31+00:00,Adjudication approved as coded. Create and independently review a separate Norris harm assessment before making claims about the contact's realized time or position cost.,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Infringement%20-%20Car%2011%20-%20Causing%20a%20collision.pdf
review-adj-2025-aut-r31-t4-22,adjudication,adj-2025-aut-r31-t4-22,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T18:56:37+00:00,"Adjudication approved as coded against the corrected official 2025 F1 guideline source. Create and independently review a separate Colapinto harm assessment; current evidence supports time lost but not a quantified position loss, repair stop, or collision-attributable damage.",https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_22_-_causing_a_collision_with_car_43_in_turn_4.pdf
review-adj-2025-aut-r4-t3-43,adjudication,adj-2025-aut-r4-t3-43,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:00:23+00:00,Adjudication approved as coded. Add a separately reviewed low or transient harm observation for Bearman to retain non-severe outcomes in the denominator; he passed Colapinto on the following lap and no contact damage or forced stop was identified.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_43_-_alleged_forcing_another_driver_off_of_the_track.pdf
review-adj-2025-aut-r54-t34-43,adjudication,adj-2025-aut-r54-t34-43,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:06:09+00:00,Adjudication approved as mitigated and guideline-conformant. Preserve the location as between Turns 3 and 4 rather than forcing one turn value. Add a separately reviewed Piastri harm record classified as potentially race-material but not proven outcome-changing.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf
review-adj-2025-aut-r1-t3-12,adjudication,adj-2025-aut-r1-t3-12,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:09:49+00:00,Adjudication approved as coded. Add a separately reviewed race-ending Verstappen harm record and evaluate the championship-material but uncertain lost-points counterfactual. Also measure the realized effect of Antonelli's carried-over three-place grid penalty and other delayed punishments rather than treating their nominal values as their effects.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_12_-_causing_a_collision_with_car_1.pdf
review-adj-2025-aut-r15-t3-22,adjudication,adj-2025-aut-r15-t3-22,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:13:38+00:00,Adjudication approved as coded. Retain Stroll's observed one-position loss only as a descriptive no-fault competitive outcome and exclude it from harm-versus-sanction proportionality calculations. Treat accessible Document 46 as the single controlling decision rather than double-counting the earlier unavailable document.,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_22_-_alleged_forcing_car_18_off_track.pdf
review-impact-2023-abu-11,impact_assessment,impact-2023-abu-11,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:33:32+00:00,"Impact approved as coded. Because the five-second penalty was added to the final classification, removing it mechanically moves Perez from P4 to P2, restores six standard points, and changes the podium without requiring behavioral or strategy assumptions.",https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Infringement%20-%20Car%2011%20-%20Causing%20a%20collision.pdf;https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Final%20Race%20Classification.pdf
review-impact-2025-aut-43,impact_assessment,impact-2025-aut-43,agree,review_status,"""single_coded_pending_human""","""double_coded""",brian_zeng,2026-08-12T19:34:44+00:00,"Impact approved as coded. Removing the post-race five-second addition leaves Colapinto 3.230 seconds behind Stroll, so the sanction had zero realized position and championship-point effect despite its nominal time and licence-point burden.",https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf;https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_final_race_classification.pdf
